SalePrice,Area,Price/m2,Width,Length,Location
3400.0,100.0,34.0,5.0,20.0,quan cam le
1600.0,100.0,16.0,5.0,20.0,quan cam le
2720.0,106.7,25.66,5.0,20.0,quan cam le
2100.0,80.0,26.25,4.0,20.0,quan cam le
1850.0,98.0,18.88,6.5,15.1,quan ngu hanh son
2500.0,100.0,25.0,5.0,20.0,quan cam le
2350.0,90.0,26.11,5.0,18.0,quan cam le
3450.0,100.0,34.5,5.0,20.0,quan cam le
2590.0,100.0,25.9,5.0,20.0,quan cam le
3890.0,80.0,48.63,5.0,17.0,quan thanh khe
4750.0,100.0,47.5,5.0,20.0,quan cam le
800.0,105.0,7.62,5.0,21.0,quan ngu hanh son
1150.0,78.0,14.74,6.0,13.0,quan ngu hanh son
1720.0,60.0,28.67,6.0,13.0,quan thanh khe
2450.0,90.0,27.22,5.0,19.0,quan cam le
3280.0,96.0,34.17,5.0,19.0,quan cam le
7500.0,113.0,66.37,5.0,22.0,quan hai chau
3550.0,100.0,35.5,5.0,20.0,quan cam le
1100.0,75.0,14.67,5.0,15.0,quan ngu hanh son
2830.0,110.0,25.73,5.0,22.0,quan ngu hanh son
1500.0,100.0,15.0,5.0,20.0,huyen hoa vang
2550.0,90.0,28.33,5.0,20.0,quan lien chieu
2850.0,100.0,28.5,5.0,20.0,quan ngu hanh son
2200.0,70.0,31.43,10.0,7.0,quan son tra
3400.0,75.0,45.33,5.0,15.0,quan son tra
1350.0,65.0,20.77,5.0,15.0,quan lien chieu
2550.0,100.0,25.5,5.0,20.0,quan cam le
1100.0,102.0,10.78,5.0,20.0,huyen hoa vang
1900.0,144.0,13.19,6.0,24.0,huyen hoa vang
3550.0,106.0,33.49,6.0,18.0,quan ngu hanh son
2040.0,81.0,25.19,6.0,18.0,quan lien chieu
2100.0,52.6,40.38,4.2,13.0,quan son tra
4850.0,100.0,48.5,5.0,20.0,quan ngu hanh son
3400.0,100.0,34.0,5.0,20.0,quan cam le
2350.0,100.0,23.5,5.0,20.0,quan ngu hanh son
1744.0,105.0,16.61,5.0,21.0,quan ngu hanh son
2900.0,100.0,29.0,5.0,20.0,quan cam le
2050.0,68.0,30.15,4.5,15.0,quan lien chieu
2690.0,100.0,26.9,5.0,20.0,quan cam le
3600.0,100.0,36.0,5.0,20.0,quan lien chieu
2550.0,100.0,25.5,5.0,20.0,quan cam le
2400.0,100.0,24.0,5.0,20.0,quan cam le
2450.0,100.0,24.5,5.0,20.0,quan cam le
525.0,100.0,5.25,5.0,20.0,huyen hoa vang
1200.0,90.0,13.33,5.0,18.0,quan ngu hanh son
2250.0,100.0,22.5,5.0,18.0,quan lien chieu
11800.0,102.6,115.69,5.4,19.0,quan son tra
2650.0,100.0,26.5,5.0,20.0,quan cam le
2600.0,121.0,21.49,6.0,20.0,quan lien chieu
2550.0,116.0,21.98,5.0,23.0,quan cam le
1870.0,98.0,19.08,6.0,17.0,quan lien chieu
5700.0,145.0,39.31,5.0,23.0,quan cam le
2520.0,105.0,24.0,5.0,21.0,quan cam le
2900.0,100.0,29.0,5.0,20.0,quan cam le
1900.0,80.0,23.75,5.0,16.0,quan lien chieu
2499.0,100.0,24.99,5.0,20.0,quan cam le
4100.0,118.0,34.75,5.0,23.5,quan son tra
3450.0,100.0,34.5,5.0,20.0,quan cam le
1750.0,104.0,16.83,4.2,25.0,quan cam le
2250.0,100.0,22.5,4.2,25.0,quan lien chieu
3050.0,95.0,32.11,5.0,19.0,quan cam le
6000.0,100.0,60.0,5.0,20.0,quan son tra
6500.0,150.0,43.33,10.0,15.0,quan son tra
2800.0,82.0,34.15,5.0,15.0,quan cam le
795.0,142.0,5.6,6.0,23.6,huyen hoa vang
1600.0,100.0,16.0,6.0,23.6,quan lien chieu
1300.0,100.0,13.0,6.0,23.6,quan ngu hanh son
2860.0,100.0,28.6,5.0,20.0,quan cam le
900.0,150.0,6.0,5.0,30.0,huyen hoa vang
3300.0,100.0,33.0,5.0,20.0,quan cam le
4490.0,117.5,38.38,5.0,20.0,quan son tra
5400.0,130.0,41.54,5.0,26.0,quan cam le
750.0,403.0,1.86,15.0,25.0,huyen hoa vang
2599.0,100.0,25.99,5.0,20.0,quan cam le
2630.0,100.0,26.3,5.0,20.0,quan cam le
4150.0,100.0,41.5,5.0,20.0,quan cam le
1750.0,105.0,16.67,5.0,21.0,quan ngu hanh son
500.0,130.0,3.85,5.0,21.0,huyen hoa vang
2399.9990000000007,105.0,22.86,5.0,21.0,quan lien chieu
2300.0,125.0,18.4,5.0,25.0,quan lien chieu
1820.0,100.0,18.2,5.0,20.0,quan ngu hanh son
1550.0,100.0,15.5,5.0,20.0,quan lien chieu
2250.0,72.0,31.25,4.0,18.0,quan lien chieu
2089.0,108.0,19.34,5.0,21.0,quan ngu hanh son
3500.0,159.0,22.01,8.2,19.0,quan ngu hanh son
3350.0,90.0,37.22,5.0,18.0,quan lien chieu
3350.0,100.0,33.5,5.0,20.0,quan cam le
1650.0,112.0,14.73,7.0,16.0,huyen hoa vang
1750.0,100.0,17.5,5.0,20.0,quan ngu hanh son
1150.0,100.0,11.5,5.0,20.0,huyen hoa vang
780.0,150.0,5.2,5.0,30.0,huyen hoa vang
2190.0,100.0,21.9,5.0,20.0,quan cam le
4612.0,112.5,41.18,5.0,22.5,quan cam le
3200.0,52.0,61.54,4.5,13.0,quan son tra
590.0,100.0,5.9,5.0,20.0,huyen hoa vang
1240.0,69.0,17.97,5.0,20.0,quan lien chieu
1900.0,97.0,19.59,4.0,24.0,quan lien chieu
1400.0,100.0,14.0,5.0,20.0,quan lien chieu
2100.0,90.0,23.33,5.0,18.0,quan lien chieu
3200.0,100.0,32.0,5.0,20.0,quan ngu hanh son
3050.0,95.0,32.11,5.0,20.0,quan cam le
1870.0,100.0,18.7,5.0,20.0,huyen hoa vang
2600.0,120.0,21.67,5.0,24.0,quan lien chieu
4400.0,84.0,52.38,5.0,16.0,quan lien chieu
599.0,102.0,5.87,6.0,17.0,huyen hoa vang
1250.0,98.0,12.76,7.0,14.0,huyen hoa vang
4200.0,109.0,38.53,5.0,21.0,quan ngu hanh son
1780.0,70.0,25.43,4.25,16.48,quan lien chieu
4399.9999990000015,66.0,66.67,6.0,10.0,quan son tra
6500.0,150.0,43.33,7.85,20.0,quan son tra
2150.0,62.0,34.68,3.12,20.0,quan hai chau
2570.0,100.0,25.7,5.0,20.0,quan ngu hanh son
1820.0,115.0,15.83,5.0,25.0,quan lien chieu
3200.0,100.0,32.0,5.0,20.0,quan ngu hanh son
2100.0,100.0,21.0,5.0,20.0,quan ngu hanh son
2950.0,100.0,29.5,5.0,20.0,quan ngu hanh son
2350.0,115.0,20.43,5.0,23.0,quan lien chieu
482.0,120.0,4.02,6.0,20.0,huyen hoa vang
480.0,105.0,4.57,6.0,18.0,huyen hoa vang
3930.0,100.0,39.3,5.0,20.0,quan son tra
1870.0,100.0,18.7,5.0,20.0,huyen hoa vang
2750.0,100.0,27.5,5.0,20.0,quan cam le
488.0,129.0,3.78,5.0,28.0,huyen hoa vang
5050.0,72.0,70.14,6.5,11.0,quan thanh khe
2900.0,100.0,29.0,5.0,20.0,quan ngu hanh son
950.0,147.0,6.46,7.0,21.0,huyen hoa vang
2050.0,100.0,20.5,5.0,20.0,quan lien chieu
1100.0,90.0,12.22,5.0,19.0,quan ngu hanh son
2350.0,100.0,23.5,5.0,20.0,quan cam le
1250.0,200.0,6.25,6.7,29.0,huyen hoa vang
5500.0,119.0,46.22,7.0,17.0,quan son tra
4200.0,76.0,55.26,5.0,15.33,quan thanh khe
3350.0,100.0,33.5,5.0,20.0,quan cam le
2790.0,100.0,27.9,5.0,20.0,quan cam le
1790.0,61.0,29.34,4.02,15.0,quan thanh khe
680.0,120.0,5.67,5.0,24.0,huyen hoa vang
2099.0,100.0,20.99,5.0,20.0,quan lien chieu
1720.0,60.0,28.67,3.0,20.0,quan thanh khe
4950.0,122.0,40.57,5.0,24.5,quan son tra
3350.0,80.0,41.88,4.0,24.5,quan lien chieu
2070.0,100.0,20.7,5.0,20.0,quan ngu hanh son
2900.0,100.0,29.0,5.0,20.0,quan ngu hanh son
3150.0,100.0,31.5,5.0,20.0,quan ngu hanh son
3800.0,82.0,46.34,5.18,18.0,quan son tra
